"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_PURINE_SALVAGE","REACTOME_PURINE_SALVAGE","REACTOME_PURINE_SALVAGE",13,-0.93663014307812,-2.19659140439517,1.71392427041316e-06,0.00444183580234228,0.00423958351896145,537,"tags=23%, list=2%, signal=23%","ENSDARG00000078619/ENSDARG00000075395/ENSDARG00000032469"
"GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP","GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP","GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP",182,-0.554284109610491,-2.08410636604955,2.04615979734155e-06,0.00444183580234228,0.00423958351896145,343,"tags=2%, list=2%, signal=2%","ENSDARG00000100786/ENSDARG00000039222/ENSDARG00000052223/ENSDARG00000032469"
"GOBP_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS",13,0.939327728417462,2.03958288523273,2.23908896934545e-06,0.00444183580234228,0.00423958351896145,7,"tags=8%, list=0%, signal=8%","ENSDARG00000098386"
"MODULE_77","MODULE_77","MODULE_77",28,0.900813504437083,2.31661521632767,2.44910886194182e-06,0.00451143346004412,0.0043060121524547,2,"tags=4%, list=0%, signal=4%","ENSDARG00000056108"
"GOCC_CCR4_NOT_COMPLEX","GOCC_CCR4_NOT_COMPLEX","GOCC_CCR4_NOT_COMPLEX",13,0.93544348072764,2.03114893308749,3.3673727906336e-06,0.00578941179317666,0.00552579967271411,8,"tags=8%, list=0%, signal=8%","ENSDARG00000008255"
"GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING","GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING",19,0.901246727512874,2.16633672312351,4.02066904898613e-06,0.00648056463151895,0.00618548191062445,1,"tags=5%, list=0%, signal=5%","ENSDARG00000057911"
"HU_FETAL_RETINA_AMACRINE","HU_FETAL_RETINA_AMACRINE","HU_FETAL_RETINA_AMACRINE",58,-0.762798865989512,-2.44788730568085,5.32258774654009e-06,0.00734074696508082,0.00700649714102707,511,"tags=3%, list=2%, signal=3%","ENSDARG00000070037/ENSDARG00000052223"
"KIM_HYPOXIA","KIM_HYPOXIA","KIM_HYPOXIA",19,-0.898428710003626,-2.30927898539811,5.48100639224996e-06,0.00734074696508082,0.00700649714102707,2,"tags=11%, list=0%, signal=11%","ENSDARG00000103542/ENSDARG00000032469"
"GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS",19,0.898694048841281,2.16020082117813,5.03326533816524e-06,0.00734074696508082,0.00700649714102707,7,"tags=5%, list=0%, signal=5%","ENSDARG00000098386"
"GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION","GOBP_LEUKOCYTE_PROLIFERATION",229,0.617107883862985,2.05193876653896,5.69292874099873e-06,0.00734074696508082,0.00700649714102707,2066,"tags=18%, list=9%, signal=16%","ENSDARG00000098386/ENSDARG00000007723/ENSDARG00000102434/ENSDARG00000074302/ENSDARG00000078147/ENSDARG00000093750/ENSDARG00000043249/ENSDARG00000009087/ENSDARG00000019742/ENSDARG00000076586/ENSDARG00000098700/ENSDARG00000004763/ENSDARG00000015752/ENSDARG00000042130/ENSDARG00000105674/ENSDARG00000027391/ENSDARG00000092204/ENSDARG00000052158/ENSDARG00000042440/ENSDARG00000039269/ENSDARG00000038878/ENSDARG00000088022/ENSDARG00000098231/ENSDARG00000039351/ENSDARG00000042725/ENSDARG00000104693/ENSDARG00000055163/ENSDARG00000063050/ENSDARG00000001807/ENSDARG00000091377/ENSDARG00000016439/ENSDARG00000078643/ENSDARG00000091003/ENSDARG00000037099/ENSDARG00000059906/ENSDARG00000074371/ENSDARG00000041060/ENSDARG00000054968/ENSDARG00000077768/ENSDARG00000035253/ENSDARG00000035533"
"HP_EXERCISE_INDUCED_MYALGIA","HP_EXERCISE_INDUCED_MYALGIA","HP_EXERCISE_INDUCED_MYALGIA",25,-0.895486257105965,-2.43744725054593,6.79292673454365e-06,0.00761664293726723,0.00726983060689102,2,"tags=8%, list=0%, signal=8%","ENSDARG00000069937/ENSDARG00000032469"
"REACTOME_NUCLEOTIDE_SALVAGE","REACTOME_NUCLEOTIDE_SALVAGE","REACTOME_NUCLEOTIDE_SALVAGE",21,-0.890319902927623,-2.33616302421943,6.68081527231786e-06,0.00761664293726723,0.00726983060689102,537,"tags=14%, list=2%, signal=14%","ENSDARG00000078619/ENSDARG00000075395/ENSDARG00000032469"
"TSENG_IRS1_TARGETS_DN","TSENG_IRS1_TARGETS_DN","TSENG_IRS1_TARGETS_DN",119,0.72411383193084,2.25285571820111,6.76404824167726e-06,0.00761664293726723,0.00726983060689102,634,"tags=5%, list=3%, signal=5%","ENSDARG00000057911/ENSDARG00000036571/ENSDARG00000007723/ENSDARG00000052895/ENSDARG00000039863/ENSDARG00000025147"
"HP_DECREASED_SPECIFIC_ANTIBODY_RESPONSE_TO_VACCINATION","HP_DECREASED_SPECIFIC_ANTIBODY_RESPONSE_TO_VACCINATION","HP_DECREASED_SPECIFIC_ANTIBODY_RESPONSE_TO_VACCINATION",13,0.926231954619635,2.01114774454767,8.91852794869865e-06,0.00958332988620789,0.00914696743650742,7,"tags=8%, list=0%, signal=8%","ENSDARG00000098386"
"HP_RIGHT_VENTRICULAR_DILATATION","HP_RIGHT_VENTRICULAR_DILATATION","HP_RIGHT_VENTRICULAR_DILATATION",13,0.924695195854154,2.00781094655695,9.93054338648012e-06,0.0102439513357574,0.00977750848629268,1,"tags=8%, list=0%, signal=8%","ENSDARG00000057911"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",42,0.843819260408625,2.30578286747214,1.07183752145915e-05,0.0106313914772731,0.0101473071262352,234,"tags=5%, list=1%, signal=5%","ENSDARG00000035924/ENSDARG00000058567"
"GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS",47,-0.802108408177051,-2.48107683074802,1.41540482341704e-05,0.0130104253008109,0.0124180152384089,537,"tags=9%, list=2%, signal=8%","ENSDARG00000078619/ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000032469"
"GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS",74,-0.717102562588488,-2.36262799886549,1.59927916603617e-05,0.0130104253008109,0.0124180152384089,65,"tags=5%, list=0%, signal=5%","ENSDARG00000078619/ENSDARG00000016706/ENSDARG00000075395/ENSDARG00000032469"
"MIR6769A_3P","MIR6769A_3P","MIR6769A_3P",16,-0.908860042896005,-2.28374030171779,1.69951423773937e-05,0.0130104253008109,0.0124180152384089,2,"tags=12%, list=0%, signal=13%","ENSDARG00000018319/ENSDARG00000032469"
"MODULE_42","MODULE_42","MODULE_42",25,0.907129035484466,2.28329899223337,1.67409541946379e-05,0.0130104253008109,0.0124180152384089,2,"tags=4%, list=0%, signal=4%","ENSDARG00000056108"
"GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS","GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS",17,-0.882231096344068,-2.21642839380122,1.77782462959783e-05,0.0130104253008109,0.0124180152384089,537,"tags=12%, list=2%, signal=11%","ENSDARG00000078619/ENSDARG00000032469"
"GOCC_CYTOPLASMIC_DYNEIN_COMPLEX","GOCC_CYTOPLASMIC_DYNEIN_COMPLEX","GOCC_CYTOPLASMIC_DYNEIN_COMPLEX",22,0.880493007760173,2.17221115888783,1.85990843360532e-05,0.0130104253008109,0.0124180152384089,3,"tags=5%, list=0%, signal=5%","ENSDARG00000035924"
"GOBP_T_CELL_PROLIFERATION","GOBP_T_CELL_PROLIFERATION","GOBP_T_CELL_PROLIFERATION",145,0.667852294040649,2.15577037924051,1.89736958668337e-05,0.0130104253008109,0.0124180152384089,1532,"tags=15%, list=7%, signal=14%","ENSDARG00000098386/ENSDARG00000007723/ENSDARG00000102434/ENSDARG00000078147/ENSDARG00000043249/ENSDARG00000098700/ENSDARG00000004763/ENSDARG00000015752/ENSDARG00000042130/ENSDARG00000027391/ENSDARG00000052158/ENSDARG00000042440/ENSDARG00000039269/ENSDARG00000088022/ENSDARG00000039351/ENSDARG00000042725/ENSDARG00000104693/ENSDARG00000055163/ENSDARG00000063050/ENSDARG00000001807/ENSDARG00000016439/ENSDARG00000078643"
"GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES","GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES","GAUTAM_EYE_CHOROID_SCLERA_MELANOCYTES",148,0.667442791044592,2.14859418223756,1.68437166775963e-05,0.0130104253008109,0.0124180152384089,4,"tags=1%, list=0%, signal=1%","ENSDARG00000056108/ENSDARG00000036571"
"GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_DN","GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_DN","GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_DN",171,0.64539828498346,2.09728180781999,1.93754427221089e-05,0.0130104253008109,0.0124180152384089,2851,"tags=32%, list=13%, signal=28%","ENSDARG00000098386/ENSDARG00000069844/ENSDARG00000014427/ENSDARG00000102434/ENSDARG00000042577/ENSDARG00000021688/ENSDARG00000098752/ENSDARG00000078147/ENSDARG00000043249/ENSDARG00000026611/ENSDARG00000025428/ENSDARG00000042138/ENSDARG00000041623/ENSDARG00000038095/ENSDARG00000056795/ENSDARG00000103466/ENSDARG00000045190/ENSDARG00000097208/ENSDARG00000043566/ENSDARG00000007823/ENSDARG00000042659/ENSDARG00000004953/ENSDARG00000089463/ENSDARG00000045999/ENSDARG00000045557/ENSDARG00000074501/ENSDARG00000059294/ENSDARG00000013576/ENSDARG00000019417/ENSDARG00000005481/ENSDARG00000070755/ENSDARG00000104795/ENSDARG00000086998/ENSDARG00000031683/ENSDARG00000021242/ENSDARG00000060707/ENSDARG00000016837/ENSDARG00000093990/ENSDARG00000054968/ENSDARG00000042977/ENSDARG00000103483/ENSDARG00000052157/ENSDARG00000079766/ENSDARG00000059836/ENSDARG00000055966/ENSDARG00000075121/ENSDARG00000031246/ENSDARG00000038669/ENSDARG00000028957/ENSDARG00000104290/ENSDARG00000033144/ENSDARG00000027777/ENSDARG00000092281/ENSDARG00000058160"
"GOBP_HISTONE_H3_K36_DEMETHYLATION","GOBP_HISTONE_H3_K36_DEMETHYLATION","GOBP_HISTONE_H3_K36_DEMETHYLATION",11,-0.900698653887815,-2.04570368525133,1.96753106646874e-05,0.0130104253008109,0.0124180152384089,4,"tags=18%, list=0%, signal=18%","ENSDARG00000102512/ENSDARG00000061504"
"GOMF_HISTONE_H3_METHYL_LYSINE_36_DEMETHYLASE_ACTIVITY","GOMF_HISTONE_H3_METHYL_LYSINE_36_DEMETHYLASE_ACTIVITY","GOMF_HISTONE_H3_METHYL_LYSINE_36_DEMETHYLASE_ACTIVITY",11,-0.900698653887815,-2.04570368525133,1.96753106646874e-05,0.0130104253008109,0.0124180152384089,4,"tags=18%, list=0%, signal=18%","ENSDARG00000102512/ENSDARG00000061504"
"HP_ABNORMAL_CEREBROSPINAL_FLUID_METABOLITE_CONCENTRATION","HP_ABNORMAL_CEREBROSPINAL_FLUID_METABOLITE_CONCENTRATION","HP_ABNORMAL_CEREBROSPINAL_FLUID_METABOLITE_CONCENTRATION",13,0.92037853325265,1.99843808243616,1.43656030398947e-05,0.0130104253008109,0.0124180152384089,2,"tags=8%, list=0%, signal=8%","ENSDARG00000056108"
"HP_SYSTOLIC_HEART_MURMUR","HP_SYSTOLIC_HEART_MURMUR","HP_SYSTOLIC_HEART_MURMUR",11,0.927606208438131,1.95651653092859,1.84492148267438e-05,0.0130104253008109,0.0124180152384089,1,"tags=9%, list=0%, signal=9%","ENSDARG00000057911"
"WP_VASOPRESSINREGULATED_WATER_REABSORPTION","WP_VASOPRESSINREGULATED_WATER_REABSORPTION","WP_VASOPRESSINREGULATED_WATER_REABSORPTION",41,0.844969357001603,2.31367583546682,2.08286703860249e-05,0.0134287645146299,0.0128173060080738,234,"tags=5%, list=1%, signal=5%","ENSDARG00000035924/ENSDARG00000058567"
"HP_BROAD_HALLUX_PHALANX","HP_BROAD_HALLUX_PHALANX","HP_BROAD_HALLUX_PHALANX",19,0.87782084152639,2.11002766198076,2.22573308193921e-05,0.0139998610853976,0.0133623985591955,9,"tags=5%, list=0%, signal=5%","ENSDARG00000007723"
"HP_BREATHING_DYSREGULATION","HP_BREATHING_DYSREGULATION","HP_BREATHING_DYSREGULATION",21,0.887890570466168,2.1615450317113,2.37771060939598e-05,0.0143222786515022,0.0136701353284745,1,"tags=5%, list=0%, signal=5%","ENSDARG00000057911"
"GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS","GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS",12,-0.90905065326116,-2.10743160380137,2.38806460899839e-05,0.0143222786515022,0.0136701353284745,537,"tags=17%, list=2%, signal=16%","ENSDARG00000078619/ENSDARG00000032469"
"HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_IV","HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_IV","HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_IV",28,0.877704897045501,2.25718698701295,3.08306527202045e-05,0.0165644104791949,0.0158101750703786,2,"tags=4%, list=0%, signal=4%","ENSDARG00000056108"
"HP_DECREASED_CIRCULATING_LEVEL_OF_SPECIFIC_ANTIBODY","HP_DECREASED_CIRCULATING_LEVEL_OF_SPECIFIC_ANTIBODY","HP_DECREASED_CIRCULATING_LEVEL_OF_SPECIFIC_ANTIBODY",22,0.873695004414451,2.15544021511475,2.976274240448e-05,0.0165644104791949,0.0158101750703786,254,"tags=14%, list=1%, signal=13%","ENSDARG00000098386/ENSDARG00000070272/ENSDARG00000015752"
"GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_DN","GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_DN","GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_DN",167,0.636218169653471,2.05948090414836,3.03673476909691e-05,0.0165644104791949,0.0158101750703786,1539,"tags=11%, list=7%, signal=11%","ENSDARG00000098386/ENSDARG00000008255/ENSDARG00000105328/ENSDARG00000075508/ENSDARG00000044318/ENSDARG00000027391/ENSDARG00000075538/ENSDARG00000058479/ENSDARG00000051735/ENSDARG00000077504/ENSDARG00000045557/ENSDARG00000068995/ENSDARG00000073709/ENSDARG00000035858/ENSDARG00000006580/ENSDARG00000063088/ENSDARG00000073742/ENSDARG00000057787/ENSDARG00000069888"
"GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN","GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN","GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN",185,0.626511167830622,2.05276963720358,2.85883655388101e-05,0.0165644104791949,0.0158101750703786,1936,"tags=15%, list=9%, signal=13%","ENSDARG00000057911/ENSDARG00000098386/ENSDARG00000035601/ENSDARG00000103277/ENSDARG00000027529/ENSDARG00000014946/ENSDARG00000071498/ENSDARG00000013871/ENSDARG00000042138/ENSDARG00000041623/ENSDARG00000045190/ENSDARG00000038878/ENSDARG00000071601/ENSDARG00000098315/ENSDARG00000015543/ENSDARG00000042725/ENSDARG00000028507/ENSDARG00000055751/ENSDARG00000094377/ENSDARG00000074393/ENSDARG00000004871/ENSDARG00000035468/ENSDARG00000055648/ENSDARG00000043442/ENSDARG00000035952/ENSDARG00000105976/ENSDARG00000014031"
"GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP","GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP","GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP",186,-0.519544275232001,-1.96731193677068,2.90903682250673e-05,0.0165644104791949,0.0158101750703786,1767,"tags=9%, list=8%, signal=8%","ENSDARG00000068582/ENSDARG00000089043/ENSDARG00000032256/ENSDARG00000031693/ENSDARG00000058702/ENSDARG00000025555/ENSDARG00000008461/ENSDARG00000058771/ENSDARG00000079922/ENSDARG00000075720/ENSDARG00000104043/ENSDARG00000054300/ENSDARG00000071437/ENSDARG00000035377/ENSDARG00000075395/ENSDARG00000027355/ENSDARG00000032469"
"HP_ABNORMAL_CD4_CD8_RATIO","HP_ABNORMAL_CD4_CD8_RATIO","HP_ABNORMAL_CD4_CD8_RATIO",13,0.903803796530859,1.96244899330115,3.24501929656826e-05,0.0167876161502286,0.0160232174083583,961,"tags=23%, list=4%, signal=22%","ENSDARG00000098386/ENSDARG00000015752/ENSDARG00000090851"
"HAY_BONE_MARROW_PRO_B","HAY_BONE_MARROW_PRO_B","HAY_BONE_MARROW_PRO_B",283,0.575389710654012,1.95521239668869,3.2548016887488e-05,0.0167876161502286,0.0160232174083583,723,"tags=4%, list=3%, signal=4%","ENSDARG00000056108/ENSDARG00000098386/ENSDARG00000102068/ENSDARG00000070280/ENSDARG00000075508/ENSDARG00000037262/ENSDARG00000045935/ENSDARG00000027391/ENSDARG00000058479/ENSDARG00000044549/ENSDARG00000055754/ENSDARG00000020645"
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES","REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES","REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES",48,0.825645503631381,2.27577891453775,3.43322094355379e-05,0.0173606539045704,0.0165701627541924,97,"tags=6%, list=0%, signal=6%","ENSDARG00000008255/ENSDARG00000098622/ENSDARG00000035810"
"HP_AXILLARY_PTERYGIUM","HP_AXILLARY_PTERYGIUM","HP_AXILLARY_PTERYGIUM",15,0.886636970091689,2.00812343677162,3.85473739391894e-05,0.0187736116354698,0.0179187835892425,1041,"tags=20%, list=5%, signal=19%","ENSDARG00000007723/ENSDARG00000086647/ENSDARG00000028507"
"HP_ST_SEGMENT_DEPRESSION","HP_ST_SEGMENT_DEPRESSION","HP_ST_SEGMENT_DEPRESSION",13,0.900045511180525,1.95428854594453,3.85823962418045e-05,0.0187736116354698,0.0179187835892425,1,"tags=8%, list=0%, signal=8%","ENSDARG00000057911"
"DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN","DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN","DHIMAN_PBMC_ATTENUVAX_AGE_15_25YO_SUBQ_7_OR_14DY_DN",19,-0.863756024440145,-2.2201579419057,4.05452927501072e-05,0.0193633806431947,0.0184816983561112,3,"tags=11%, list=0%, signal=11%","ENSDARG00000052139/ENSDARG00000052223"
"GOCC_NADH_DEHYDROGENASE_COMPLEX","GOCC_NADH_DEHYDROGENASE_COMPLEX","GOCC_NADH_DEHYDROGENASE_COMPLEX",47,0.818377745733367,2.24539480448706,4.29532480473261e-05,0.0197807377480802,0.0188800517356893,2,"tags=2%, list=0%, signal=2%","ENSDARG00000056108"
"GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN","GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN","GSE27786_CD8_TCELL_VS_ERYTHROBLAST_DN",176,-0.536103247750291,-2.0077601945793,4.28958459660086e-05,0.0197807377480802,0.0188800517356893,1982,"tags=15%, list=9%, signal=14%","ENSDARG00000056886/ENSDARG00000045553/ENSDARG00000075277/ENSDARG00000053530/ENSDARG00000093498/ENSDARG00000036254/ENSDARG00000076306/ENSDARG00000077157/ENSDARG00000018553/ENSDARG00000061265/ENSDARG00000009612/ENSDARG00000059387/ENSDARG00000059020/ENSDARG00000004561/ENSDARG00000104035/ENSDARG00000032206/ENSDARG00000001721/ENSDARG00000076716/ENSDARG00000051762/ENSDARG00000070694/ENSDARG00000034409/ENSDARG00000038683/ENSDARG00000054414/ENSDARG00000059899/ENSDARG00000009402/ENSDARG00000059719/ENSDARG00000052223"
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN","REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN","REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN",18,0.924219845472384,2.1920994714711,4.46370033036698e-05,0.0198473047965231,0.0189435877541382,97,"tags=11%, list=0%, signal=11%","ENSDARG00000008255/ENSDARG00000035810"
"GOBP_MESENCHYME_DEVELOPMENT","GOBP_MESENCHYME_DEVELOPMENT","GOBP_MESENCHYME_DEVELOPMENT",278,0.559184093776465,1.89616508526478,4.44281664394235e-05,0.0198473047965231,0.0189435877541382,215,"tags=2%, list=1%, signal=2%","ENSDARG00000057911/ENSDARG00000036571/ENSDARG00000007723/ENSDARG00000035810/ENSDARG00000101279/ENSDARG00000098700"
"REACTOME_STRIATED_MUSCLE_CONTRACTION","REACTOME_STRIATED_MUSCLE_CONTRACTION","REACTOME_STRIATED_MUSCLE_CONTRACTION",42,0.822251865269716,2.24684876565605,4.64431563396985e-05,0.0203003823532964,0.019376035108787,68,"tags=5%, list=0%, signal=5%","ENSDARG00000057911/ENSDARG00000007344"
"HP_LYMPHOPROLIFERATIVE_DISORDER","HP_LYMPHOPROLIFERATIVE_DISORDER","HP_LYMPHOPROLIFERATIVE_DISORDER",13,0.894583136572154,1.9424279722311,5.28959531985963e-05,0.0227355622839767,0.0217003327999294,254,"tags=15%, list=1%, signal=15%","ENSDARG00000098386/ENSDARG00000015752"
"GOBP_AMP_METABOLIC_PROCESS","GOBP_AMP_METABOLIC_PROCESS","GOBP_AMP_METABOLIC_PROCESS",26,-0.881895412739857,-2.4245032555105,5.56985263341784e-05,0.0231678918650343,0.0221129769065947,65,"tags=8%, list=0%, signal=8%","ENSDARG00000016706/ENSDARG00000032469"
